longitude	latitude	speed
-122.592543	45.523143	11.8
-122.591788	45.5231	11.6
-122.591052	45.5231	11.4
-122.590265	45.523098	12.2
-122.589498	45.523083	11.8
-122.58912	45.523063	5.4
-122.587918	45.523037	3.8
-122.587342	45.522853	9.8
-122.58669	45.522813	10.4
-122.585958	45.522812	11.2
-122.585225	45.522807	11.4
-122.584467	45.522803	11.8
-122.583705	45.522795	11.6
-122.582992	45.522782	11
-122.582608	45.522775	5.6
-122.58182	45.522782	3.1
-122.581135	45.522778	10.6
-122.580428	45.522775	11
-122.579778	45.522768	9.8
-122.579542	45.52276	3.4
-122.57826	45.522763	2.8857142857142857
-122.577527	45.522758	11.4
-122.5768	45.522753	11.2
-122.576105	45.52275	10.8
-122.575438	45.522747	10.4
-122.574765	45.522742	10.4
-122.574067	45.522745	10.8
-122.573325	45.522753	11.6
-122.572558	45.522747	11.8
-122.571772	45.522743	12.2
-122.570977	45.522742	12.2
-122.570175	45.522733	12.4
-122.56936	45.522703	12.8
-122.568532	45.522695	12.8
-122.567697	45.52269	12.8
-122.566875	45.522687	12.8
-122.56524	45.522683	12.6
-122.56443	45.522668	12.6
-122.56366	45.522633	11.8
-122.562923	45.522603	11.4
-122.562525	45.522595	5.6
-122.562132	45.522595	1.28
-122.561493	45.522597	10
-122.560782	45.522593	11.2
-122.560047	45.522583	11.2
-122.559318	45.522582	11.2
-122.558773	45.522577	8
-122.558623	45.522577	2
-122.558543	45.522575	1.4
-122.558497	45.522575	0.6
-122.558345	45.522508	3.2
-122.558345	45.52238	2.6
-122.55837	45.52172	2.96
-122.558407	45.521223	11
-122.558438	45.520705	11.4
-122.558422	45.520188	11.2
-122.558365	45.5197	10.6
-122.558372	45.519357	7
-122.55838	45.519292	1
-122.55838	45.519292	0
-122.55838	45.519292	0
-122.55838	45.519292	0.5
-122.558388	45.519207	3.6666666666666665
-122.558405	45.518883	7.2
-122.558417	45.518537	7.4
-122.558362	45.518342	4.4
-122.558027	45.518297	5.2
-122.557638	45.518298	6.4
-122.557038	45.5183	9.4
-122.556397	45.518292	9.6
-122.555947	45.518278	6.2
-122.55522	45.518315	1.45
-122.554625	45.518338	9.2
-122.554015	45.518428	9.8
-122.553417	45.518582	9.8
-122.552808	45.51877	10.2
-122.552152	45.518935	11
-122.55141	45.518952	11.4
-122.550687	45.51895	11.2
-122.549952	45.518938	11.4
-122.549203	45.518927	11.4
-122.548443	45.51892	11.8
-122.547675	45.518922	11.8
-122.546902	45.518925	12
-122.546115	45.518932	12.2
-122.545342	45.518935	12
-122.544555	45.518942	12
-122.543823	45.518942	11
-122.54325	45.518943	8.4
-122.54281	45.518945	7
-122.54221	45.518948	9.6
-122.541538	45.518952	10.4
-122.540872	45.518947	10
-122.540552	45.518937	3.8
